anio_inicio, anio_fin, texto_del_hito
1,1955,la IA no existía 
1956,1956,nace la IA
1958,1958,nace el lenguaje LISP
1972,1972,nace el Sistema experto MYCIN
1956,1974,son los anios dorados de la IA
1974,1980,es el primer invierno de la IA
1980,1987,hay un gran desarrollo de la IA
1987,1993,es el segundo invierno de la IA
1993,2001,hay una división de la IA
1996,1996,Deep Blue gana a Kaspárov en ajedrez
2002,2017,hay grandes avances en la IA 
2017,2017,Google publica el artículo "Attention is all you need"
2020,2020,OpenAI desarrolló GPT-3
2022,2022,OpenAI lanzó ChatGPT
2023,2023,se desarrollaron Microsoft Copilot, Gemini, Qwen y DeepSeek
2026,2026,surge la IA multimodal y código abierto 
2027,2100,no tengo información sobre ese año
